asset_id,owner,region,status
A-1001,Operations-Team,North-America,ACTIVE
A-1002,Data-Platform,Europe,ACTIVE
A-1004,Security-Team,North-America,ACTIVE
A-1006,Security-Team,Asia-Pacific,ACTIVE
A-1007,Data-Platform,Asia-Pacific,ACTIVE
A-1008,Operations-Team,North-America,ACTIVE
A-1009,Data-Platform,Asia-Pacific,ACTIVE
A-1010,Security-Team,Middle-East,ACTIVE
A-1013,Engineering,North-America,ACTIVE
A-1014,Operations-Team,Asia-Pacific,ACTIVE
A-1015,Data-Platform,Middle-East,ACTIVE
A-1018,IT-Support,North-America,ACTIVE
A-1019,Engineering,Asia-Pacific,ACTIVE
A-1020,Operations-Team,Middle-East,ACTIVE
A-1023,Finance,North-America,ACTIVE
A-1024,IT-Support,Asia-Pacific,ACTIVE
A-1025,Engineering,Middle-East,ACTIVE
A-1028,Security-Team,North-America,ACTIVE
A-1029,Finance,Asia-Pacific,ACTIVE
A-1030,IT-Support,Middle-East,ACTIVE
A-1033,Data-Platform,North-America,ACTIVE
A-1034,Security-Team,Asia-Pacific,ACTIVE
A-1035,Finance,Middle-East,ACTIVE
A-1038,Operations-Team,North-America,ACTIVE
A-1039,Data-Platform,Asia-Pacific,ACTIVE
A-1040,Security-Team,Middle-East,ACTIVE
A-1043,Engineering,North-America,ACTIVE
A-1044,Operations-Team,Asia-Pacific,ACTIVE
A-1045,Data-Platform,Middle-East,ACTIVE
A-1048,IT-Support,North-America,ACTIVE
A-1049,Engineering,Asia-Pacific,ACTIVE
A-1050,Operations-Team,Middle-East,ACTIVE
A-1053,Finance,North-America,ACTIVE
A-1054,IT-Support,Asia-Pacific,ACTIVE
A-1055,Engineering,Middle-East,ACTIVE
A-1058,Security-Team,North-America,ACTIVE
A-1059,Finance,Asia-Pacific,ACTIVE
A-1060,IT-Support,Middle-East,ACTIVE
A-1063,Data-Platform,North-America,ACTIVE
A-1064,Security-Team,Asia-Pacific,ACTIVE
A-1065,Finance,Middle-East,ACTIVE
A-1068,Operations-Team,North-America,ACTIVE
A-1069,Data-Platform,Asia-Pacific,ACTIVE
A-1070,Security-Team,Middle-East,ACTIVE
A-1073,Engineering,North-America,ACTIVE
A-1074,Operations-Team,Asia-Pacific,ACTIVE
A-1075,Data-Platform,Middle-East,ACTIVE
A-1078,IT-Support,North-America,ACTIVE
A-1079,Engineering,Asia-Pacific,ACTIVE
A-1080,Operations-Team,Middle-East,ACTIVE
A-1083,Finance,North-America,ACTIVE
A-1084,IT-Support,Asia-Pacific,ACTIVE
A-1085,Engineering,Middle-East,ACTIVE
A-1088,Security-Team,North-America,ACTIVE
A-1089,Finance,Asia-Pacific,ACTIVE
A-1090,IT-Support,Middle-East,ACTIVE
A-1093,Data-Platform,North-America,ACTIVE
A-1094,Security-Team,Asia-Pacific,ACTIVE
A-1095,Finance,Middle-East,ACTIVE
A-1098,Operations-Team,North-America,ACTIVE
A-1099,Data-Platform,Asia-Pacific,ACTIVE
A-1100,Security-Team,Middle-East,ACTIVE
A-1103,Engineering,North-America,ACTIVE
A-1104,Operations-Team,Asia-Pacific,ACTIVE
A-1105,Data-Platform,Middle-East,ACTIVE
